,conversation_text,sentiment
72,যে কোন companyxে দেখায় মাই অফ কিন্তু আম companyxে দেখ স্পেশাল অফ এটা কি জন্য,neutral
73,আচ্ছা আমি যে আইডি কার্ড দিয়ে companyx কর এখন অন্য আইডি কার্ড দিয়ে যদি নামে নমিনির তথ্য হালনাগাদ করি তাহলে কি কোন সমস্যা হবে,neutral
74,কার্ড় টু companyx এড়মানি ৩৫০০ টাকা অফ কি এখন আছ কোন সময় পাওয়া যায়,neutral
75,আম companyx খুলেছি অন্যজন NID দিয়ে এবং এভাবে বিগত কয়েকবছর যাবৎ ব্যবহ করে আসছিকিন্তু এখন চাচ্ পূর্ব ব্যক্তির NID টি মুছ আম NID যুক্ত কর এটা কিভাবে করবো বা এটা কর কোন উপায় আছ কিনা জান চাচ্ ধন্যবাদ,neutral
76,ভুলে টাকা আসতে পারে সেটা কোন সমস্যা না কিন্তু টাকা ব্যাক দেওয় আগে কিছু জিন খেয়াল রাখ মেসেজ কি companyx থেক আস নাকি অন্য কোন নাম্ব থেক 000 থেক অথবা অ্যাপ থেক ব্যালেন্স চেক করে নিব এই দুই জিন খেয়াল রাখলে একদম সেফ ব্য,neutral
77,কিছু দিন আগে আম ফোন ছুরি হইছিল ফোন এর companyx অ্যাকাউন্ট এ টাকা ছিল কিছু কিন্তু সিম উঠা না পারায় টাকা গুলো উঠা পারতেছি না এখন সিম উঠানো সম্ভব ও না এখন ওই সিম ছাড়া অন্য কোন ভাবে টাকা উঠানো সম্ভব কি এখন,neutral
78,আম এক ছোট ভাই আম এক অনেকদিন যাবত বন্ধ সীমে ভুল করে ২ হাজা টাকা পাঠা দিয়েছিলো পরে সে ইন্সট্যান্ট companyx কাস্টম কেয়ারে ফোন করে জানায় পরবর্তী ৪ দিন পর আমি ওই সীম খুজে পায় companyxে ট্রাঞ্জেকশনে দেখি যে ২ হাজা টাকা এস আব কাট নিয়ে গেছ এরপর ছোট ভাই কাস্টম কেয়ারে আব কল করে জানালে তার জানায় ২১ কার্যদিবস মধ্যে প্রেরক একাউন্টে টাকা ফেরত দেয়া হবে ২১ কার্যদিবস পার হয় গাল এখন পর্যন্ত টাকা ফেরত পায়নি সে আজ আব কাস্টম কেয়ারে ফোন দিলে জানায় জিডি করে জিডির কপি জমা দিলে এরপর ২১ কার্যদিবস মধ্যে ফেরত দিবে এমন পরিস্থিতি করণীয় কি কারো অভিজ্ঞতা থাকলে জানাবেন,negative
79,companyx থেক ২০০০টাকা লোন নেওয়া হলে কত টাকা পরিশোধ কর হবে এবং কত দিন মধ্যে কর হবে,neutral
80,মাসে কতটাকা লেনদেন করলে companyx লোন দেয়,neutral
81,companyx থেক আমি পর পর‌ দুইব ১০০০০২০০০০ লোন নিয়ে এবং ঠিক সময়ে পরিশোধ ও করি কিন্তু এখন আম লোন লিমিট ৮০০০ করে দিয় ‌‌এমন কেন হয় কেউ বল পারেন বিদ্র আমি নিয়মিত companyxে লেনদেন করি,neutral
82,companyx থেক কিভাবে লোন নিবো Please Help me,neutral
83,companyx থেক কিভাবে লোন নেয়,neutral
84,আম Redmi K20 Pro ফোন এ ডুএল এপ্স এ companyx লগ ইন কর জন্য ভেরিফিকেশন কোড অটো রিড কর না করণীয় কি কারো জানা থাকলে প্লিজ দয়া করে জানাবেনঅনেক ধন্যবাদ AdminApprovePlz,neutral
85,companyx লোন আব চালু হবে কবে কারো জানা থাকলে একটু জানা,neutral
86,Help post Amaro same problem kew akjon ovijog korese and companyx bondho kore dey and tarpor application nid pic sobkisu dei tar kisudin por bole id permanently bondho akhon amar kotha hosse amar companyx account 5500 tk chilo and savings kora chilo and loan o chilo 10 hazar tk r akhon tara je bondho kore dilo akhon ki hobe karo kisu jana thakle janaben please help post solution thakleo diben,negative
87,আমি একজন companyx গ্রাহক আমি অনেক দিন যাবত companyx ব্যাবহ করে আস এবং এত সুন্দর সেবা প্রদান জন্য আমি companyx প্রতি কৃতজ্ঞ কিন্তু ইদানিং এক সমস্যা খুব বেশী লক্ষ্য কর সেটা হলো companyx একাউন্ট বন্ধ বা ব্লক করে দেওয়া আচ্ছামনে করুন আপন নাম্বারে আমি ইচ্ছাকৃতভাবে ৫০ টাকা সেন্ড মানি কর তারপর আমি companyx সেবা কেন্দ্রে এই ট্রানজেকশন অভিযোগ জানা আর companyx আপন একাউন্ স্তগিত করে দিল আচ্ছা বলুন এখানে আপন কি দোষ দোষ তো আম কেননা টাকাটা আমি সেন্ড করে এত তো আপন কোন দোষ নেই তাহলে companyx কেন আপন একাউন্ স্তগিত করে আপনা পেরেশান করবে এটা কোন নিয়ম হলো এরকম হচ্ অনেক গ্রাহক সাথে companyx দৃষ্ আকর্ষণ করছিএ ব্যাপারে কিছু বল জন্য companyx সাথে থাকুন ধন্যবাদ ভালবাসা️,negative
88,companyx থেক কি লোন দে দিলে সেটা কতদিন ব্যবহ কর লাগে,neutral
89,আসসালামুয়ালাইকুমআমার ফুফি দিয়ে এক সিম কিনছি কয়েক বছর আগেও সিম এ আম companyx একাউন্ট ছিলআম মোবাইল টা হারা যাওয়াতে সিম টা তুল চাচ্ছিলামকিন্তু ফুফির এন আই ডি দিয়ে সিম এর তথ্য ভুল বলছেcompanyx একাউন্ট আম এন আই ডি দিয়ে খুলা হয়েছিলএখন সিম না তুললে companyx একাউন্ট টা কোন ভাবে পাওয়া যাবেপিন ও মনে আছেবাট ভেরিফিকেশন কোড টা ছাড়া হচ্ছেনাএখন উপায় কিকারো সাথে কি এমন হয়েছেহলে প্রসিডিওর টা যদি বলতেনউপক হত,neutral
90,আম সিম এমএনপি কর হয়েছিল বর্তমানে companybে আছি companyx অ্যাপস এ ওটিপি পাচ্ না এক সপ্তাহ যাবত ভোগান্তি আছি দুই তিনব কমপ্ করে কোন সদ উত্তর পাচ্ না,negative
91,আম companyx নম্বর পরিবর্তন কর চাই এত কি কোন চার্জ নিবে আর এই নম্বর পরিবর্তন কর অনলাইন কি ওয়ে আছ নাকি companyx এজেন্ট কাছ যেত হবে দয়া করে জানা প্লিজ,neutral
92,companyx পিন ৩ বার ভুল করে দেওয় কারনে companyx ব্লক হয় গেছ আর companyx কোন আইডি দিয়ে খলা তা জান পারছিনা companyx কোন আইডি দিয়ে খলা তা জানা উপায় কি কেও জান,neutral
93,ঋণাত্মক হেল্প পোস্ট ঘুম কোনো একজন companyx এজেন্টব্যাক্তি ভুল করে আম companyx একাউন্টে কিছু টাকা পাঠা দিয়েছিল একাউন্ট থেক আমি সেই ব্যাক্তির ১ পয়সা খরচা করিনি সে নাকি অভিযোগ করে আম একাউন্ট বন্ধ করে দিয় সেই ব্যাক্তির সাথে যোগাযোগ কর পরে ওনি বললো আমি ওন টাকা ফেরত দিলে ওনি অভিযোগ উটা নিবে এবং আমি আম একাউন্ট ফেরত পাবো কিন্তু companyx হেল্প লাইন ১৬000 ফোন দিয়ে জান পার ওই ব্যাক্তি অভিযোগ উটা নিলে আমি আম একাউন্ট ফেরত পাবো নাকি না সেটি companyx কোম্পানি সিদ্ধান্ত নিবে টিক চিহ্ন️ এখন প্রশ্ন হলো সে ব্যাক্তি অভিযোগ উটা নিলে আম companyx একাউন্ট পুনরায় সচল হবে টিক চিহ্ন️ একাউন্ট যদি সচল হয় আমি আম companyx একাউন্ট এর টাকা ফেরত পাবো,negative
94,আমি bankk ব্যাংক ভিসা কার্ড থেক আম companyx একাউন্টে এড মানি করি ১ হাজা টাকা companyx থেক দেখায় এডমানি ব্যর্থ হয় কিন্তু কার্ড থেক ঠিক টাকা কাট নিয় আম companyx একাউন্টে কোন টাকা যোগ হয়নি এই ক্ষেত্রে করনীয় কি,negative
95,এক companyx নাম্ব কোন এন আই ডি নাম্ব থেক খোলা জানা যাবে কি,neutral
96,খুবইজরুরীHelpপ্লিজ আম মোবাইলে আমি আগে companyx অ্যাপস ব্যবহ করতাম কিন্তু সম্প্রতি সিম চেঞ্জ করেছি আমি আব companyx সিম মোবাইলে লাগিয়ে companyx অ্যাপস চালু কর চাইলে চালু হয়না companyx ভেরিফিকেশন কোড আসে কিন্তু কোড মেয়াদ উত্তীর্ণ দেখায় যদি কোড টা ৩০ সেকেন্ডের মধ্যে মোবাইলে অটো চলে আসে আমি অনলাইনে কাস্টম সার্ভ কেয় অনেকব যোগাযোগ করে তার বিগত ১ মাসে কোন সমাধান দিত পারেনি তার আমা companyx অ্যাপস গুগল প্লে সার্ভ গুগল প্লে স্টোর এই cashe clear করে মোবাইল বন্ধ করে চালু কর বলছিল আমি করে কিন্তু কোন কাজ হয়নি কেউ কোন সমাধান দিত পারলে জানা প্লিজঅনেক ধন্যবাদ,negative
97,companyx সেভিংস বাতিল করে কত দিন মধ্যে টাকা পাওয়া যাবে এবং এই টাকা Cash out করলে কি কোন প্রক চার্জ কাটবে,neutral
98,companyb সিম থেক companya সিমে চলে গাল অপরেটর চেঞ্জ করলে companyx একাউন্ট কোন সমস্যা হবে,neutral
